Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Harrisburg/Scranton,Weekly,"2019-04-14 00:00:00","Conventional ",1.260000000,334662.06,66213.17,146771.87,560.46,121116.56,109811.53,11298.37,6.66
Hartford/Springfield,Weekly,"2019-04-14 00:00:00","Conventional ",1.050000000,566877.45,8422.49,489336.49,1028.07,68090.40,58264.94,9825.46,0.00
Houston,Weekly,"2019-04-14 00:00:00","Conventional ",0.840000000,1586415.28,544725.14,124147.51,190284.16,727258.47,170792.82,487143.37,69322.28
Indianapolis,Weekly,"2019-04-14 00:00:00","Conventional ",0.880000000,298321.85,59165.40,60600.43,8120.12,170435.90,144744.63,25007.86,683.41
Jacksonville,Weekly,"2019-04-14 00:00:00","Conventional ",1.320000000,228162.16,110073.94,8720.90,803.56,108563.76,46372.52,62191.24,0.00
"Las Vegas",Weekly,"2019-04-14 00:00:00","Conventional ",0.980000000,434866.81,81455.30,99276.17,13414.24,240721.10,131277.39,108770.18,673.53
"Los Angeles",Weekly,"2019-04-14 00:00:00","Conventional ",0.870000000,4127622.82,986522.29,1038990.77,173374.65,1928735.11,1557126.15,115269.20,256339.76
Louisville,Weekly,"2019-04-14 00:00:00","Conventional ",0.960000000,164624.93,37841.17,14973.96,215.42,111594.38,75428.69,36155.69,10.00
"Miami/Ft. Lauderdale",Weekly,"2019-04-14 00:00:00","Conventional ",1.360000000,935521.80,365057.18,32808.00,4666.91,532989.71,146189.64,386766.74,33.33
Midsouth,Weekly,"2019-04-14 00:00:00","Conventional ",1.130000000,4114089.50,1210383.64,1046993.52,30509.16,1826203.18,1426906.87,398898.27,398.04
Nashville,Weekly,"2019-04-14 00:00:00","Conventional ",0.840000000,344984.45,144247.69,7168.91,724.71,192843.14,139995.31,52837.24,10.59
"New Orleans/Mobile",Weekly,"2019-04-14 00:00:00","Conventional ",1.030000000,349215.58,208943.44,20508.51,721.73,119041.90,73063.10,42428.80,3550.00
"New York",Weekly,"2019-04-14 00:00:00","Conventional ",1.140000000,2308270.34,53154.33,1690927.38,19184.31,545004.32,442893.62,102110.70,0.00
Northeast,Weekly,"2019-04-14 00:00:00","Conventional ",1.190000000,6245799.32,284053.03,4415076.64,31468.88,1515200.77,1131369.68,383791.09,40.00
"Northern New England",Weekly,"2019-04-14 00:00:00","Conventional ",1.320000000,472881.15,10320.79,403978.66,348.24,58233.46,28697.81,29535.65,0.00
Orlando,Weekly,"2019-04-14 00:00:00","Conventional ",1.250000000,517604.58,239471.87,16487.35,3828.00,257817.36,122953.74,134846.95,16.67
Philadelphia,Weekly,"2019-04-14 00:00:00","Conventional ",1.440000000,497615.74,37226.94,262571.16,4103.64,193714.00,159778.53,33925.47,10.00
Phoenix/Tucson,Weekly,"2019-04-14 00:00:00","Conventional ",0.920000000,1298918.20,392726.55,247190.64,24565.60,634435.41,348513.93,285921.48,0.00
Pittsburgh,Weekly,"2019-04-14 00:00:00","Conventional ",1.200000000,137410.78,36696.64,21877.49,2268.87,76567.78,44141.21,32426.57,0.00
Plains,Weekly,"2019-04-14 00:00:00","Conventional ",1.100000000,2034525.94,774123.90,427043.76,27436.53,805921.75,696871.93,103893.31,5156.51
Portland,Weekly,"2019-04-14 00:00:00","Conventional ",1.130000000,684515.95,77511.83,224671.84,24466.01,357866.27,195522.62,161939.53,404.12
Raleigh/Greensboro,Weekly,"2019-04-14 00:00:00","Conventional ",1.280000000,362567.98,158797.78,50026.38,6634.81,147109.01,134932.52,12159.82,16.67
Richmond/Norfolk,Weekly,"2019-04-14 00:00:00","Conventional ",1.080000000,331533.36,91828.22,77222.41,1810.73,160672.00,120904.54,39757.46,10.00
Roanoke,Weekly,"2019-04-14 00:00:00","Conventional ",1.040000000,221677.93,60913.85,34490.22,167.31,126106.55,92274.16,33819.06,13.33
Sacramento,Weekly,"2019-04-14 00:00:00","Conventional ",1.340000000,487552.85,176826.53,196924.74,3143.72,110657.86,98924.19,7886.48,3847.19
"San Diego",Weekly,"2019-04-14 00:00:00","Conventional ",0.770000000,870142.84,125437.57,418622.84,26761.46,299320.97,245147.61,54144.32,29.04
"San Francisco",Weekly,"2019-04-14 00:00:00","Conventional ",1.260000000,1015212.62,402323.04,422591.10,9978.73,180319.75,167258.07,5825.34,7236.34
Seattle,Weekly,"2019-04-14 00:00:00","Conventional ",1.240000000,613385.87,94424.84,197692.42,1273.96,319994.65,124668.85,194953.25,372.55
"South Carolina",Weekly,"2019-04-14 00:00:00","Conventional ",1.230000000,487179.40,227375.52,41373.65,2420.95,216009.28,162274.66,49471.67,4262.95
"South Central",Weekly,"2019-04-14 00:00:00","Conventional ",0.900000000,7795610.18,3221352.08,1106310.37,396214.51,3071733.22,1562090.27,1405950.49,103692.46
Southeast,Weekly,"2019-04-14 00:00:00","Conventional ",1.200000000,5383718.59,2428336.48,222305.31,21694.26,2711382.54,1416619.94,1253491.57,41271.03
Spokane,Weekly,"2019-04-14 00:00:00","Conventional ",1.140000000,115098.48,24754.52,32090.82,90.99,58162.15,22834.08,35318.45,9.62
"St. Louis",Weekly,"2019-04-14 00:00:00","Conventional ",1.120000000,220101.46,115615.58,13382.76,611.16,90491.96,80082.54,10409.42,0.00
Syracuse,Weekly,"2019-04-14 00:00:00","Conventional ",1.340000000,80172.75,3723.43,44965.38,142.01,31341.93,14876.00,16465.93,0.00
Tampa,Weekly,"2019-04-14 00:00:00","Conventional ",1.300000000,560659.78,238960.92,19628.86,2210.22,299859.78,118210.10,181615.19,34.49
"Total U.S.",Weekly,"2019-04-14 00:00:00","Conventional ",1.050000000,45956798.68,13116578.64,12746906.95,1181613.53,18911699.56,12002214.73,6411537.42,497947.41
West,Weekly,"2019-04-14 00:00:00","Conventional ",1.020000000,7712466.45,1932032.73,1772318.28,174111.92,3834003.52,1715799.07,2115057.04,3147.41
"West Tex/New Mexico",Weekly,"2019-04-14 00:00:00","Conventional ",1.010000000,1015320.89,484458.72,111689.91,68627.88,350544.38,229565.57,120965.48,13.33
Albany,Weekly,"2019-04-14 00:00:00",Organic,1.550000000,4825.59,1327.08,863.83,0.00,2634.68,2618.45,16.23,0.00
Atlanta,Weekly,"2019-04-14 00:00:00",Organic,1.480000000,11216.60,155.51,4181.72,0.00,6879.37,6044.05,835.32,0.00
Baltimore/Washington,Weekly,"2019-04-14 00:00:00",Organic,1.650000000,36253.19,1210.66,5903.46,2.49,29136.58,27388.06,1748.52,0.00
Boise,Weekly,"2019-04-14 00:00:00",Organic,1.710000000,4491.44,0.00,1330.16,0.00,3161.28,1437.96,1723.32,0.00
Boston,Weekly,"2019-04-14 00:00:00",Organic,1.680000000,30583.27,50.00,2933.26,0.00,27600.01,11584.18,16015.83,0.00
Buffalo/Rochester,Weekly,"2019-04-14 00:00:00",Organic,1.550000000,13037.68,454.17,323.09,0.00,12260.42,3476.97,8783.45,0.00
California,Weekly,"2019-04-14 00:00:00",Organic,1.340000000,238688.38,50916.75,63890.79,0.00,123880.84,123788.01,92.83,0.00
Charlotte,Weekly,"2019-04-14 00:00:00",Organic,1.780000000,12314.92,114.74,3544.67,39.33,8616.18,8602.85,13.33,0.00
Chicago,Weekly,"2019-04-14 00:00:00",Organic,1.710000000,44004.98,603.51,6456.08,0.00,36945.39,36945.39,0.00,0.00
Cincinnati/Dayton,Weekly,"2019-04-14 00:00:00",Organic,1.310000000,8192.14,167.14,3892.35,0.00,4132.65,1743.22,2389.43,0.00
Columbus,Weekly,"2019-04-14 00:00:00",Organic,1.450000000,5256.32,434.67,1745.83,0.00,3075.82,2485.89,589.93,0.00
"Dallas/Ft. Worth",Weekly,"2019-04-14 00:00:00",Organic,1.170000000,44325.90,10534.20,1051.61,859.10,31880.99,19717.66,12163.33,0.00
Denver,Weekly,"2019-04-14 00:00:00",Organic,1.330000000,69540.65,11676.04,1983.18,0.00,55881.43,55823.64,57.79,0.00
Detroit,Weekly,"2019-04-14 00:00:00",Organic,1.330000000,11357.22,524.85,3505.94,0.00,7226.24,6825.42,400.82,0.00
"Grand Rapids",Weekly,"2019-04-14 00:00:00",Organic,1.260000000,12833.19,69.55,4709.55,0.00,8054.09,8047.37,6.72,0.00
"Great Lakes",Weekly,"2019-04-14 00:00:00",Organic,1.450000000,164614.15,4837.67,33239.49,0.00,126244.14,116411.26,9832.88,0.00
Harrisburg/Scranton,Weekly,"2019-04-14 00:00:00",Organic,1.480000000,16562.90,1695.26,2213.38,0.00,12654.26,11757.27,896.99,0.00
Hartford/Springfield,Weekly,"2019-04-14 00:00:00",Organic,1.660000000,29758.81,5769.18,19384.64,0.00,4604.99,4446.00,158.99,0.00
Houston,Weekly,"2019-04-14 00:00:00",Organic,1.220000000,35716.23,14198.80,125.27,0.00,21392.16,21285.49,106.67,0.00
Indianapolis,Weekly,"2019-04-14 00:00:00",Organic,1.300000000,7079.23,221.88,1509.95,0.00,5347.40,3060.61,2286.79,0.00
Jacksonville,Weekly,"2019-04-14 00:00:00",Organic,1.410000000,2669.71,54.25,122.13,0.00,2493.33,2493.33,0.00,0.00
"Las Vegas",Weekly,"2019-04-14 00:00:00",Organic,1.470000000,15330.39,1665.73,1978.63,0.00,11686.03,11654.96,31.07,0.00
"Los Angeles",Weekly,"2019-04-14 00:00:00",Organic,1.150000000,136504.30,27987.63,27918.40,0.00,80598.27,80541.72,56.55,0.00
Louisville,Weekly,"2019-04-14 00:00:00",Organic,1.420000000,2731.57,0.00,1028.78,0.00,1702.79,1679.29,23.50,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-04-14 00:00:00",Organic,1.320000000,10537.95,1019.19,1.00,0.00,9517.76,9517.76,0.00,0.00
Midsouth,Weekly,"2019-04-14 00:00:00",Organic,1.670000000,133035.26,3035.74,38349.90,143.54,91506.08,86169.56,5336.52,0.00
Nashville,Weekly,"2019-04-14 00:00:00",Organic,1.550000000,3332.32,90.68,1282.25,0.00,1959.39,1773.66,185.73,0.00
"New Orleans/Mobile",Weekly,"2019-04-14 00:00:00",Organic,1.030000000,2052.68,1147.12,0.00,0.00,905.56,905.56,0.00,0.00
"New York",Weekly,"2019-04-14 00:00:00",Organic,1.400000000,277683.10,116667.73,110560.64,24.19,50430.54,47166.32,3264.22,0.00
Northeast,Weekly,"2019-04-14 00:00:00",Organic,1.450000000,508891.78,156528.36,168240.00,20.96,184102.46,136080.99,48021.47,0.00
"Northern New England",Weekly,"2019-04-14 00:00:00",Organic,1.380000000,31821.91,39.00,5170.98,0.00,26611.93,17648.44,8963.49,0.00
Orlando,Weekly,"2019-04-14 00:00:00",Organic,1.370000000,6596.21,126.36,8.75,0.00,6461.10,6457.77,3.33,0.00
Philadelphia,Weekly,"2019-04-14 00:00:00",Organic,1.390000000,55545.09,16766.49,20644.95,0.00,18133.65,16229.88,1903.77,0.00
Phoenix/Tucson,Weekly,"2019-04-14 00:00:00",Organic,1.110000000,47945.10,3261.86,3734.62,0.00,40948.62,40705.60,243.02,0.00
Pittsburgh,Weekly,"2019-04-14 00:00:00",Organic,1.480000000,10470.91,1120.75,7.25,0.00,9342.91,9322.91,20.00,0.00
Plains,Weekly,"2019-04-14 00:00:00",Organic,1.380000000,75341.30,12931.60,6901.26,6.51,55501.93,46789.49,8712.44,0.00
Portland,Weekly,"2019-04-14 00:00:00",Organic,1.550000000,56245.13,533.52,16165.17,0.00,39546.44,3221.31,36323.20,1.93
Raleigh/Greensboro,Weekly,"2019-04-14 00:00:00",Organic,2.140000000,12165.14,211.88,4007.65,16.04,7929.57,7540.97,388.60,0.00
Richmond/Norfolk,Weekly,"2019-04-14 00:00:00",Organic,1.440000000,11801.55,55.00,2428.98,7.87,9309.70,8845.20,464.50,0.00
Roanoke,Weekly,"2019-04-14 00:00:00",Organic,1.470000000,4941.53,105.68,1448.16,0.00,3387.69,3021.03,366.66,0.00
Sacramento,Weekly,"2019-04-14 00:00:00",Organic,1.700000000,11689.66,2951.69,3502.03,0.00,5235.94,5235.94,0.00,0.00
"San Diego",Weekly,"2019-04-14 00:00:00",Organic,1.310000000,22395.16,6565.29,10207.54,0.00,5622.33,5610.91,11.42,0.00
"San Francisco",Weekly,"2019-04-14 00:00:00",Organic,1.870000000,27924.68,8196.29,7722.20,0.00,12006.19,11999.59,6.60,0.00
Seattle,Weekly,"2019-04-14 00:00:00",Organic,1.210000000,144516.20,969.59,33347.74,2.61,110196.26,3912.69,106270.50,13.07
"South Carolina",Weekly,"2019-04-14 00:00:00",Organic,1.810000000,11927.87,126.75,3767.12,13.26,8020.74,6890.31,1130.43,0.00
"South Central",Weekly,"2019-04-14 00:00:00",Organic,1.260000000,171431.45,47710.45,5677.37,4725.73,113317.90,86054.12,27263.78,0.00
Southeast,Weekly,"2019-04-14 00:00:00",Organic,1.510000000,67778.88,2100.47,12968.23,18.66,52691.52,49859.36,2832.16,0.00
Spokane,Weekly,"2019-04-14 00:00:00",Organic,1.720000000,6784.43,117.94,2217.59,0.00,4448.90,1149.95,3298.95,0.00
"St. Louis",Weekly,"2019-04-14 00:00:00",Organic,2.150000000,8152.77,1782.30,2006.27,0.00,4364.20,4343.55,20.65,0.00
Syracuse,Weekly,"2019-04-14 00:00:00",Organic,1.630000000,4366.14,127.63,306.89,0.00,3931.62,1905.80,2025.82,0.00
Tampa,Weekly,"2019-04-14 00:00:00",Organic,1.380000000,4357.96,100.30,1.00,0.00,4256.66,4256.66,0.00,0.00
"Total U.S.",Weekly,"2019-04-14 00:00:00",Organic,1.410000000,1855513.44,310297.88,410932.53,5813.06,1128177.12,857443.56,270718.74,14.82
West,Weekly,"2019-04-14 00:00:00",Organic,1.350000000,495732.31,32236.85,81665.48,897.66,380932.32,212290.81,168626.69,14.82
"West Tex/New Mexico",Weekly,"2019-04-14 00:00:00",Organic,1.350000000,28591.49,1841.24,1557.45,2322.15,22870.65,21724.80,1145.85,0.00
Albany,Weekly,"2019-04-21 00:00:00","Conventional ",1.400000000,109870.74,3728.75,91354.29,328.31,14459.39,8497.43,5961.96,0.00
Atlanta,Weekly,"2019-04-21 00:00:00","Conventional ",1.190000000,666177.11,261796.26,31633.15,2668.47,370079.23,271602.73,83264.65,15211.85
Baltimore/Washington,Weekly,"2019-04-21 00:00:00","Conventional ",1.510000000,890934.30,102801.42,429400.50,9041.70,349690.68,237486.72,111973.96,230.00
Boise,Weekly,"2019-04-21 00:00:00","Conventional ",1.620000000,91281.23,40992.46,3961.73,10961.02,35366.02,21203.82,14079.96,82.24
Boston,Weekly,"2019-04-21 00:00:00","Conventional ",1.610000000,494545.80,8486.12,346303.04,3274.53,136482.11,112930.24,23545.20,6.67
Buffalo/Rochester,Weekly,"2019-04-21 00:00:00","Conventional ",1.530000000,172992.26,7984.63,77634.93,337.00,87035.70,55429.97,31532.40,73.33
California,Weekly,"2019-04-21 00:00:00","Conventional ",1.420000000,6079899.20,1854463.06,1840241.92,195995.03,2189199.19,1812703.17,152802.11,223693.91
Charlotte,Weekly,"2019-04-21 00:00:00","Conventional ",1.370000000,285604.63,111399.14,51290.88,5862.24,117052.37,105907.50,11124.87,20.00
Chicago,Weekly,"2019-04-21 00:00:00","Conventional ",1.750000000,573322.98,97840.34,261211.68,40976.43,173294.53,110593.44,62636.28,64.81
Cincinnati/Dayton,Weekly,"2019-04-21 00:00:00","Conventional ",0.980000000,264774.34,72185.51,20714.20,18335.05,153539.58,116216.29,25201.60,12121.69
Columbus,Weekly,"2019-04-21 00:00:00","Conventional ",0.950000000,261534.31,67565.48,20355.68,2993.98,170619.17,139275.50,30669.30,674.37
"Dallas/Ft. Worth",Weekly,"2019-04-21 00:00:00","Conventional ",0.950000000,1629353.40,639205.73,282819.89,20910.06,686417.72,455343.84,230940.00,133.88
Denver,Weekly,"2019-04-21 00:00:00","Conventional ",1.110000000,1009699.64,182949.24,193242.54,22873.44,610634.42,186213.83,423435.96,984.63
Detroit,Weekly,"2019-04-21 00:00:00","Conventional ",1.070000000,591513.81,126922.39,59375.97,57616.04,347599.41,271391.23,64432.53,11775.65
"Grand Rapids",Weekly,"2019-04-21 00:00:00","Conventional ",1.590000000,179342.00,6613.13,70147.92,54503.08,48077.87,31288.85,5273.96,11515.06
"Great Lakes",Weekly,"2019-04-21 00:00:00","Conventional ",1.230000000,3945735.18,723517.28,934109.58,282826.39,2005281.93,1427711.10,519055.13,58515.70
Harrisburg/Scranton,Weekly,"2019-04-21 00:00:00","Conventional ",1.290000000,351099.13,74564.01,143297.69,569.65,132667.78,120903.93,11643.85,120.00
Hartford/Springfield,Weekly,"2019-04-21 00:00:00","Conventional ",1.560000000,244674.65,6138.77,172759.86,1393.10,64382.92,53420.31,10955.94,6.67
Houston,Weekly,"2019-04-21 00:00:00","Conventional ",0.920000000,1531738.30,544948.15,112838.84,142813.13,731138.18,173252.08,545022.01,12864.09
Indianapolis,Weekly,"2019-04-21 00:00:00","Conventional ",1.050000000,260633.84,47547.31,59057.33,6186.51,147842.69,119774.89,26683.41,1384.39
Jacksonville,Weekly,"2019-04-21 00:00:00","Conventional ",1.410000000,219702.51,90236.26,7409.05,785.75,121271.45,44861.84,75026.28,1383.33
"Las Vegas",Weekly,"2019-04-21 00:00:00","Conventional ",1.060000000,370341.09,73042.75,114457.23,8831.46,174009.65,110622.35,62471.63,915.67
"Los Angeles",Weekly,"2019-04-21 00:00:00","Conventional ",1.290000000,2890600.33,900377.58,430964.42,131527.33,1427731.00,1166587.45,91495.15,169648.40
Louisville,Weekly,"2019-04-21 00:00:00","Conventional ",1.290000000,123231.01,25413.88,15178.99,278.84,82359.30,51066.62,31286.59,6.09
"Miami/Ft. Lauderdale",Weekly,"2019-04-21 00:00:00","Conventional ",1.390000000,880424.72,315177.75,30107.10,4378.52,530761.35,180597.20,350154.15,10.00
Midsouth,Weekly,"2019-04-21 00:00:00","Conventional ",1.340000000,3709482.21,1057009.81,911097.41,33954.47,1707420.52,1275967.93,428338.71,3113.88
Nashville,Weekly,"2019-04-21 00:00:00","Conventional ",1.070000000,291855.39,112863.14,7116.35,412.36,171463.54,128232.16,43214.84,16.54
"New Orleans/Mobile",Weekly,"2019-04-21 00:00:00","Conventional ",1.230000000,308143.24,182105.96,21962.22,677.00,103398.06,58484.18,40040.54,4873.34
"New York",Weekly,"2019-04-21 00:00:00","Conventional ",1.610000000,1549354.11,53784.24,916474.05,19584.66,559511.16,448441.06,111066.77,3.33
Northeast,Weekly,"2019-04-21 00:00:00","Conventional ",1.510000000,4530588.27,277991.72,2691950.24,30835.95,1529810.36,1186740.09,342666.94,403.33
"Northern New England",Weekly,"2019-04-21 00:00:00","Conventional ",1.350000000,504612.43,8081.39,430047.84,396.01,66087.19,25371.87,40708.65,6.67
Orlando,Weekly,"2019-04-21 00:00:00","Conventional ",1.320000000,488683.86,207778.90,14588.99,3655.99,262659.98,124266.13,138287.18,106.67
Philadelphia,Weekly,"2019-04-21 00:00:00","Conventional ",1.530000000,493910.72,34959.36,251260.99,2793.51,204896.86,174875.40,30001.46,20.00
Phoenix/Tucson,Weekly,"2019-04-21 00:00:00","Conventional ",0.970000000,1252916.52,376024.38,282665.81,19767.29,574459.04,318190.48,256265.23,3.33
Pittsburgh,Weekly,"2019-04-21 00:00:00","Conventional ",1.250000000,131680.71,33536.01,15442.04,1542.84,81159.82,46007.43,35102.39,50.00
Plains,Weekly,"2019-04-21 00:00:00","Conventional ",1.220000000,1922440.55,635273.31,535209.09,25468.33,726489.82,615639.27,109983.70,866.85
Portland,Weekly,"2019-04-21 00:00:00","Conventional ",1.650000000,489156.50,72948.45,161133.37,22979.60,232095.08,133773.21,97579.57,742.30
Raleigh/Greensboro,Weekly,"2019-04-21 00:00:00","Conventional ",1.370000000,366534.32,154136.19,56789.20,6912.49,148696.44,129753.06,18936.71,6.67
Richmond/Norfolk,Weekly,"2019-04-21 00:00:00","Conventional ",1.320000000,293678.40,73425.10,66456.78,2075.69,151720.83,110052.18,41665.32,3.33
Roanoke,Weekly,"2019-04-21 00:00:00","Conventional ",1.250000000,183557.39,49541.30,29105.32,218.08,104692.69,69962.83,34723.19,6.67
Sacramento,Weekly,"2019-04-21 00:00:00","Conventional ",1.680000000,430276.46,131908.89,210464.28,3234.08,84669.21,70919.29,7962.44,5787.48
"San Diego",Weekly,"2019-04-21 00:00:00","Conventional ",1.300000000,525242.77,103402.14,181052.84,22045.15,218742.64,184101.03,34623.11,18.50
"San Francisco",Weekly,"2019-04-21 00:00:00","Conventional ",1.710000000,870509.12,225219.29,479523.79,10151.23,155614.81,140066.90,6295.23,9252.68
Seattle,Weekly,"2019-04-21 00:00:00","Conventional ",1.700000000,468014.42,114029.33,144781.21,1242.18,207961.70,119777.27,88130.89,53.54
"South Carolina",Weekly,"2019-04-21 00:00:00","Conventional ",1.370000000,464023.01,203458.16,46312.35,2934.73,211317.77,153750.22,50134.22,7433.33
"South Central",Weekly,"2019-04-21 00:00:00","Conventional ",1.030000000,7199312.49,3007561.04,1028567.19,318112.90,2845071.36,1468439.41,1357347.18,19284.77
Southeast,Weekly,"2019-04-21 00:00:00","Conventional ",1.320000000,4891211.20,2063281.88,222770.61,21323.84,2583834.87,1318561.83,1206193.50,59079.54
Spokane,Weekly,"2019-04-21 00:00:00","Conventional ",1.610000000,87455.45,26921.10,25058.26,108.57,35367.52,21475.46,13892.06,0.00
"St. Louis",Weekly,"2019-04-21 00:00:00","Conventional ",1.270000000,171601.77,77444.33,8426.29,608.63,85122.52,73647.54,11471.65,3.33
Syracuse,Weekly,"2019-04-21 00:00:00","Conventional ",1.490000000,81159.53,3285.18,45907.12,124.00,31843.23,21924.50,9918.73,0.00
Tampa,Weekly,"2019-04-21 00:00:00","Conventional ",1.360000000,523516.76,197981.72,16188.33,2119.29,307227.42,122623.30,184600.79,3.33
"Total U.S.",Weekly,"2019-04-21 00:00:00","Conventional ",1.270000000,39009980.45,11457331.14,9683822.37,1076012.10,16792814.84,10656049.33,5768550.56,368214.95
West,Weekly,"2019-04-21 00:00:00","Conventional ",1.200000000,6731311.35,1838233.05,1519876.31,167495.19,3205706.80,1550286.53,1652163.30,3256.97
"West Tex/New Mexico",Weekly,"2019-04-21 00:00:00","Conventional ",1.080000000,919275.41,497507.81,111753.76,61018.95,248994.89,200395.60,48579.29,20.00
Albany,Weekly,"2019-04-21 00:00:00",Organic,1.920000000,2833.15,214.74,724.10,0.00,1894.31,1894.31,0.00,0.00
Atlanta,Weekly,"2019-04-21 00:00:00",Organic,1.680000000,15014.08,71.41,3823.43,0.00,11119.24,5832.72,5286.52,0.00
Baltimore/Washington,Weekly,"2019-04-21 00:00:00",Organic,1.720000000,44873.22,808.25,6051.61,13.76,37999.60,36121.05,1878.55,0.00
Boise,Weekly,"2019-04-21 00:00:00",Organic,2.180000000,4213.58,0.00,1363.50,0.00,2850.08,1062.49,1787.59,0.00
Boston,Weekly,"2019-04-21 00:00:00",Organic,1.670000000,28647.57,44.53,2903.38,0.00,25699.66,9234.65,16465.01,0.00
Buffalo/Rochester,Weekly,"2019-04-21 00:00:00",Organic,2.160000000,9083.03,862.13,226.04,0.00,7994.86,6099.60,1895.26,0.00
California,Weekly,"2019-04-21 00:00:00",Organic,1.640000000,256548.81,45557.40,89658.13,0.00,121333.28,121025.84,307.44,0.00
Charlotte,Weekly,"2019-04-21 00:00:00",Organic,2.050000000,11381.45,75.78,4824.63,49.28,6431.76,6431.76,0.00,0.00
Chicago,Weekly,"2019-04-21 00:00:00",Organic,1.990000000,40192.57,528.49,6026.62,0.00,33637.46,33577.46,60.00,0.00
Cincinnati/Dayton,Weekly,"2019-04-21 00:00:00",Organic,1.560000000,10374.53,183.67,3872.41,0.00,6318.45,1346.96,4971.49,0.00
Columbus,Weekly,"2019-04-21 00:00:00",Organic,1.680000000,6600.26,557.28,1460.90,0.00,4582.08,2309.02,2273.06,0.00
"Dallas/Ft. Worth",Weekly,"2019-04-21 00:00:00",Organic,1.320000000,45018.60,8738.42,918.04,523.20,34838.94,22142.27,12696.67,0.00
Denver,Weekly,"2019-04-21 00:00:00",Organic,1.740000000,24347.36,5055.92,1310.83,0.00,17980.61,15811.59,2169.02,0.00
Detroit,Weekly,"2019-04-21 00:00:00",Organic,1.560000000,11865.73,628.94,3603.72,0.00,7626.54,6280.76,1345.78,0.00
"Grand Rapids",Weekly,"2019-04-21 00:00:00",Organic,1.360000000,14985.55,78.55,5316.88,0.00,9590.12,9583.45,6.67,0.00
"Great Lakes",Weekly,"2019-04-21 00:00:00",Organic,1.670000000,155782.46,4934.79,34343.39,0.00,116445.30,102063.28,14382.02,0.00
Harrisburg/Scranton,Weekly,"2019-04-21 00:00:00",Organic,1.810000000,12553.13,612.67,348.37,0.00,11592.09,10556.75,1035.34,0.00
Hartford/Springfield,Weekly,"2019-04-21 00:00:00",Organic,2.190000000,11259.11,432.54,9552.79,0.00,1273.78,1273.78,0.00,0.00
Houston,Weekly,"2019-04-21 00:00:00",Organic,1.430000000,33894.04,10390.70,103.25,0.00,23400.09,23246.76,153.33,0.00
Indianapolis,Weekly,"2019-04-21 00:00:00",Organic,1.550000000,5163.07,222.11,2330.55,0.00,2610.41,1731.30,879.11,0.00
Jacksonville,Weekly,"2019-04-21 00:00:00",Organic,1.470000000,637.09,56.82,116.93,0.00,463.34,463.34,0.00,0.00
"Las Vegas",Weekly,"2019-04-21 00:00:00",Organic,1.680000000,11864.81,1526.87,1922.93,0.00,8415.01,8373.52,41.49,0.00
"Los Angeles",Weekly,"2019-04-21 00:00:00",Organic,1.460000000,124674.68,13483.46,33736.74,0.00,77454.48,77162.01,292.47,0.00
Louisville,Weekly,"2019-04-21 00:00:00",Organic,1.810000000,2428.93,3.48,778.67,0.00,1646.78,1191.42,455.36,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-04-21 00:00:00",Organic,1.190000000,4397.45,1133.56,12.77,0.00,3251.12,3251.12,0.00,0.00
Midsouth,Weekly,"2019-04-21 00:00:00",Organic,1.800000000,145923.00,2141.24,38708.05,222.84,104850.87,94633.60,10217.27,0.00
Nashville,Weekly,"2019-04-21 00:00:00",Organic,1.900000000,3700.80,39.38,1221.30,0.00,2440.12,1386.59,1053.53,0.00
"New Orleans/Mobile",Weekly,"2019-04-21 00:00:00",Organic,1.500000000,1335.80,708.01,0.00,0.00,627.79,627.79,0.00,0.00
"New York",Weekly,"2019-04-21 00:00:00",Organic,2.060000000,101792.11,26481.08,29604.30,20.18,45686.55,43480.07,2206.48,0.00
Northeast,Weekly,"2019-04-21 00:00:00",Organic,1.900000000,257071.52,37388.70,57394.17,17.45,162271.20,126769.96,35501.24,0.00
"Northern New England",Weekly,"2019-04-21 00:00:00",Organic,1.510000000,32451.43,68.00,5861.11,0.00,26522.32,18041.32,8481.00,0.00
Orlando,Weekly,"2019-04-21 00:00:00",Organic,1.330000000,3240.87,147.66,1.00,0.00,3092.21,3092.21,0.00,0.00
Philadelphia,Weekly,"2019-04-21 00:00:00",Organic,1.900000000,29203.12,5011.23,5270.79,0.00,18921.10,17228.30,1692.80,0.00
Phoenix/Tucson,Weekly,"2019-04-21 00:00:00",Organic,1.750000000,17927.83,2675.78,3824.13,0.00,11427.92,11176.95,250.97,0.00
Pittsburgh,Weekly,"2019-04-21 00:00:00",Organic,1.500000000,9994.05,1215.72,7.18,0.00,8771.15,8737.82,33.33,0.00
Plains,Weekly,"2019-04-21 00:00:00",Organic,1.690000000,60630.24,6369.88,5520.41,0.00,48739.95,40814.19,7925.76,0.00
Portland,Weekly,"2019-04-21 00:00:00",Organic,2.020000000,44203.97,808.27,11847.54,17.26,31530.90,2099.56,29431.34,0.00
Raleigh/Greensboro,Weekly,"2019-04-21 00:00:00",Organic,2.310000000,12970.39,154.20,5430.15,55.65,7330.39,7297.41,32.98,0.00
